"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\expiries.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\index.ts", "TypeScript", -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -44
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\keys.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\article.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\auth.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -15
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\topic.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\tsconfig.json", "JSON with Comments", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -1, 0, -13
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 28
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\package-lock.json", "JSON", 0, 0, 5183, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5184
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\package.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\alert-icon.svg", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\bell-icon.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\check-mark.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 18
